id_company,ticker,avg_price_2015,avg_price_2016,avg_price_2017,avg_price_2018,avg_price_2019,avg_price_2020,avg_price_2021,avg_price_2022,avg_price_2023,avg_price_2024,avg_price_2025
1,ABQK.QA,3.446960054,3.146770013,2.557840823,2.564763886,2.817059545,3.105464965,3.62683831,4.005025968,3.897860021,3.753627529,3.592794384
2,AHCS.QA,1.467630467,1.33329762,1.137151998,0.948095786,0.83314672,0.774718877,0.987473893,1.115180724,0.871248,0.816623482,0.844957945
3,AKHI.QA,3.951977042,2.42765476,1.685919999,1.071674329,1.611277989,1.844192773,3.866871481,3.32270683,2.665843997,2.477137646,2.373570097
6,BRES.QA,4.635177179,3.37988095,3.317724004,3.607107278,3.560011586,3.249116468,3.187417667,3.421297189,2.698488002,2.835939262,2.751060745
7,CBQK.QA,5.14235621,3.566465739,2.969360347,3.63684675,4.472749047,4.179710837,5.475907646,6.888401602,5.711735985,4.460692318,4.476742981
8,DBIS.QA,3.874948633,3.037230001,2.94286516,1.902338389,1.2632912,1.892704625,2.431702383,2.091153809,1.271611999,1.232700403,1.057742991
9,DHBK.QA,5.023864797,3.558689696,3.091890468,2.619061312,2.38611196,2.308465864,2.67916466,2.532759042,1.659356004,1.626109316,2.332355138
10,DOHI.QA,2.511354324,1.970027778,1.547307993,1.312911878,1.142046334,1.137646582,1.879421684,2.028188745,2.144763993,2.468696364,2.53118224
12,ERES.QA,1.721850396,1.695472225,1.277271999,1.030735631,0.887861003,1.177995981,1.628951806,1.26873092,0.991691999,0.875611335,1.076612148
14,GISS.QA,7.621318905,3.554662698,2.26701581,1.816302683,1.694042469,1.494204818,1.613116465,1.874899596,2.203991994,3.066951414,3.188957961
15,GWCS.QA,6.068521789,5.516726199,4.817168003,4.136153264,4.717806946,4.97568273,5.049879503,4.35441766,3.383168001,3.296433204,2.885836452
17,IHGS.QA,9.75445359,6.386349197,5.120744006,2.797452103,2.143212354,3.100750996,4.993072294,5.424208826,4.299291991,4.092931176,3.453448591
18,IQCD.QA,13.35141732,10.47714282,10.20001197,11.82254405,11.65007331,8.992606422,13.44875502,17.02212856,13.01236,12.63362906,12.74429907
19,MARK.QA,4.423622035,3.496686515,3.949248009,3.769042148,3.753208487,4.049172699,4.506345364,4.504377501,2.549240003,2.402870444,2.340341116
20,MCCS.QA,10.51299214,8.658849183,7.27522134,5.484019133,4.085216206,2.997855417,3.905698797,8.39901603,5.532748003,3.91389068,4.648537378
21,MCGS.QA,15.6685433,9.103769828,7.718023991,6.792176259,7.155992269,7.515128496,8.793244956,7.199417681,6.021807985,4.46478542,5.325042063
22,MERS.QA,22.72245955,19.45946939,14.95444218,14.4961086,14.47297623,17.60638625,19.12714885,17.77049896,14.29029233,13.94829963,14.67485986
26,MPHC.QA,2.382614175,1.767670634,1.371572002,1.553210727,2.345976809,2.011959828,2.036441765,2.535172693,1.909412004,1.699170036,1.364271027
27,MRDS.QA,1.82922218,1.465957437,1.281383366,0.855919503,0.873785323,1.033747464,1.306299958,0.999966911,0.804160765,0.63953846,0.605051401
28,NLCS.QA,1.914125985,1.611003967,1.404135999,0.9531954,0.769366798,0.915662652,1.141698796,0.880216867,0.759179999,0.742923079,0.732439249
29,ORDS.QA,8.955551209,9.09722222,9.547084003,7.709000025,6.938320462,6.606570301,7.233168686,8.214465865,10.21844399,10.77526613,12.76859813
31,QATI.QA,5.65556389,6.042548467,5.542225634,3.781312746,3.446463314,2.323887548,2.472417672,2.367835339,2.125143995,2.184266122,2.003602807
32,QCFS.QA,4.044077082,3.098750007,2.767071993,1.994551718,2.029814684,3.043393585,3.847409626,3.502132561,3.160279976,2.788592756,2.451775676
33,QEWS.QA,20.72200788,20.87539678,19.99011197,18.88680842,16.54274903,16.28353411,16.99622484,17.98481928,17.39928003,15.99157897,15.64990656
35,QFLS.QA,14.73237517,13.47157356,11.5997417,14.10648275,20.88277225,17.95244984,17.96132533,18.52530119,16.51108001,15.01449393,14.98009345
36,QGMD.QA,1.386787404,1.134392855,0.825470356,0.539505746,0.649718147,1.436437746,2.987232931,2.021493974,1.673619996,1.581101217,1.48957944
37,QGRI.QA,5.038530614,4.661094798,3.92457201,4.799831427,3.740100382,2.229004018,2.22059838,1.915987949,1.247888008,1.116769228,1.234242994
38,QGTS.QA,2.303649609,2.315777778,1.860004004,1.676613028,2.226895754,2.592879528,3.185160641,3.778947794,3.725880005,4.171943316,4.659649539
39,QIBK.QA,10.84799214,10.06940474,9.804891956,12.25974328,15.79579544,15.99140568,17.43224894,23.32180719,18.73632002,19.64120968,22.40383181
40,QIGD.QA,4.524980338,4.792365099,4.749272004,3.1615977,2.201733588,1.767879522,2.290080321,2.114911639,1.702436006,1.585303644,1.526042059
41,QIIK.QA,7.731850408,6.397698395,5.810856005,5.779632176,7.823764479,8.445417695,9.326767079,11.12837749,10.00953597,10.63708093,10.83631776
